Central Bank of Kenya,"Central Bank of Kenya, Haile Selassie Ave ",/site/directions/1334382,Mobile  (+254) 0718 999991
Diamond Trust Bank (K) Ltd - Upper Hill Rd,"Crowne Plaza, 1st Flr, Kenya Rd ",/site/directions/1410379,Mobile  (+254) 0713 603193
Equity Bank Ltd - Buru buru,"Kenya National Library Services Bldg, Mumias South Rd ",/site/directions/1166485,Mobile  (+254) 0738 586793
Bank of Baroda (Kenya) Ltd - Mombasa,"Kenya Hse, Digo Rd ",/site/directions/1452112,Mobile  (+254) 0737 977888
Ministry of Environment & Natural Resources,"Kenya Coml Bank, 4th Flr, Moi Ave ",We need a website,Primary  (+254) (020) 222 87 12
"Gaya, Dr Z - Head Office","National Bank of Kenya, Uganda Rd ",/site/directions/975861,Primary  (+254) (053) 206 39 02
St.James Opticians,"Opp Kenya Commercial Bank, Moi Ave ",/site/directions/1063967,Mobile  (+254) 0713 577584
Wachira Irungu & Associates,"Kenya Commercial Bank Bldg, 2nd Flr, Njuri Ncheke St ",/site/directions/39007,Primary  (+254) (064) 313 14 43
A A of Kenya - Head Office,A A of Kenya Hse Off Airport North Rd ,http://www.aakenya.co.ke,Primary  (+254) (020) 697 90 00
Abib Swift Travel Agencies,"Kenya Hse, 2nd Flr, Rm 20, Koinange St ",http://www.swiftravel.co.ke,Mobile  (+254) 0722 460449
Ace Pharmaceuticals Ltd,"Kenya Re Towers, Gr Flr, Ragati Cls ",/site/directions/1088497,Mobile  (+254) 0726 833638
Africa Registrars,"Kenya Re Towers, Ragati Cls off Ragati Rd ",/site/directions/1126483,Primary  (+254) (020) 272 33 22
African Fruits & Vegetables Ltd,"Unifilters Kenya Bldg, Busia Rd ",/site/directions/1407356,Mobile  (+254) 0736 907034
African Heritage Design Co Ltd,"Bomas of Kenya Premises, Forest Edge Rd off Lang''ata Rd ",/site/directions/1272024,Primary  (+254) (020) 248 30 87
African Trade Insurance Agency (Agence pour l''Assurance du Commerce en Afrique) - Upper Hill,"Kenya Re Towers, 5th Flr, Ragati Cls off Ragati Rd ",http://www.ati-aca.org,Primary  (+254) (020) 271 97 27
African Union of the Blind,Kenya Union of The Blind Bldg off Airport North Rd ,http://www.afub-uafa.org,Primary  (+254) (020) 682 39 89
